year,month,week_number,day,full_date,quarter,day_of_week,is_weekend,date_key
2016,7,31,27,2016-07-27,3,3,0,7200
2016,7,31,28,2016-07-28,3,4,0,7211
2016,7,31,29,2016-07-29,3,5,0,7224
2016,7,31,30,2016-07-30,3,6,1,7236
2016,7,32,31,2016-07-31,3,7,1,7258
2016,8,32,1,2016-08-01,3,1,0,7271
2016,8,32,2,2016-08-02,3,2,0,7305
2016,8,32,3,2016-08-03,3,3,0,7325
2016,8,32,4,2016-08-04,3,4,0,7335
2016,8,32,5,2016-08-05,3,5,0,7349
2016,8,32,6,2016-08-06,3,6,1,7370
2016,8,33,7,2016-08-07,3,7,1,7389
2016,8,33,8,2016-08-08,3,1,0,7409
2016,8,33,9,2016-08-09,3,2,0,7435
2016,8,33,10,2016-08-10,3,3,0,7446
2016,8,33,11,2016-08-11,3,4,0,7467
2016,8,33,12,2016-08-12,3,5,0,7486
2016,8,33,13,2016-08-13,3,6,1,7509
2016,8,34,14,2016-08-14,3,7,1,7546
2016,8,34,15,2016-08-15,3,1,0,7562
2016,8,34,16,2016-08-16,3,2,0,7596
2016,8,34,17,2016-08-17,3,3,0,7621
2016,8,34,18,2016-08-18,3,4,0,7639
2016,8,34,19,2016-08-19,3,5,0,7662
2016,8,34,20,2016-08-20,3,6,1,7673
2016,8,35,21,2016-08-21,3,7,1,7697
2016,8,35,22,2016-08-22,3,1,0,7709
2016,8,35,23,2016-08-23,3,2,0,7732
2016,8,35,24,2016-08-24,3,3,0,7743
2016,8,35,25,2016-08-25,3,4,0,7756
2016,8,35,26,2016-08-26,3,5,0,7769
2016,8,35,27,2016-08-27,3,6,1,7794
2016,8,36,28,2016-08-28,3,7,1,7813
2016,8,36,29,2016-08-29,3,1,0,7829
2016,8,36,30,2016-08-30,3,2,0,7853
2016,8,36,31,2016-08-31,3,3,0,7871
2016,9,36,1,2016-09-01,3,4,0,7880
2016,9,36,2,2016-09-02,3,5,0,7908
2016,9,36,3,2016-09-03,3,6,1,7937
2016,9,37,4,2016-09-04,3,7,1,7947
2016,9,37,5,2016-09-05,3,1,0,7964
2016,9,37,6,2016-09-06,3,2,0,7981
2016,9,37,7,2016-09-07,3,3,0,7988
2016,9,37,8,2016-09-08,3,4,0,8048
2016,9,37,9,2016-09-09,3,5,0,8062
2016,9,37,10,2016-09-10,3,6,1,8074
2016,9,38,11,2016-09-11,3,7,1,8088
2016,9,38,12,2016-09-12,3,1,0,8114
2016,9,38,13,2016-09-13,3,2,0,8131
2016,9,38,14,2016-09-14,3,3,0,8138
2016,9,38,15,2016-09-15,3,4,0,8157
2016,9,38,16,2016-09-16,3,5,0,8193
2016,9,38,17,2016-09-17,3,6,1,8206
2016,9,39,18,2016-09-18,3,7,1,8210
2016,9,39,19,2016-09-19,3,1,0,8226
2016,9,39,20,2016-09-20,3,2,0,8252
2016,9,39,21,2016-09-21,3,3,0,8270
2016,9,39,22,2016-09-22,3,4,0,8334
2016,9,39,23,2016-09-23,3,5,0,8345
2016,9,39,24,2016-09-24,3,6,1,8364
2016,9,40,25,2016-09-25,3,7,1,8379
2016,9,40,26,2016-09-26,3,1,0,8390
2016,9,40,27,2016-09-27,3,2,0,8432
2016,9,40,28,2016-09-28,3,3,0,8440
2016,9,40,29,2016-09-29,3,4,0,8449
2016,9,40,30,2016-09-30,3,5,0,8454
2016,10,40,1,2016-10-01,4,6,1,8483
2016,10,41,2,2016-10-02,4,7,1,8508
2016,10,41,3,2016-10-03,4,1,0,8514
2016,10,41,4,2016-10-04,4,2,0,8528
2016,10,41,5,2016-10-05,4,3,0,8535
2016,10,41,6,2016-10-06,4,4,0,8546
2016,10,41,7,2016-10-07,4,5,0,8604
2016,10,41,8,2016-10-08,4,6,1,8614
2016,10,42,9,2016-10-09,4,7,1,8657
2016,10,42,10,2016-10-10,4,1,0,8712
2016,10,42,11,2016-10-11,4,2,0,8716
2016,10,42,12,2016-10-12,4,3,0,8729
2016,10,42,13,2016-10-13,4,4,0,8780
2016,10,42,14,2016-10-14,4,5,0,8786
2016,10,42,15,2016-10-15,4,6,1,8803
2016,10,43,16,2016-10-16,4,7,1,8827
2016,10,43,17,2016-10-17,4,1,0,8859
2016,10,43,18,2016-10-18,4,2,0,8877
2016,10,43,19,2016-10-19,4,3,0,8897
2016,10,43,20,2016-10-20,4,4,0,8915
2016,10,43,21,2016-10-21,4,5,0,8935
2016,10,43,22,2016-10-22,4,6,1,8958
2016,10,44,23,2016-10-23,4,7,1,9017
2016,10,44,24,2016-10-24,4,1,0,9027
2016,10,44,25,2016-10-25,4,2,0,9047
2016,10,44,26,2016-10-26,4,3,0,9056
2016,10,44,27,2016-10-27,4,4,0,9075
2016,10,44,28,2016-10-28,4,5,0,9110
2016,10,44,29,2016-10-29,4,6,1,9134
2016,10,45,30,2016-10-30,4,7,1,9156
2016,10,45,31,2016-10-31,4,1,0,9167
2016,11,45,1,2016-11-01,4,2,0,9178
2016,11,45,2,2016-11-02,4,3,0,9200
2016,11,45,3,2016-11-03,4,4,0,9209
2016,11,45,4,2016-11-04,4,5,0,9229
2016,11,45,5,2016-11-05,4,6,1,9237
2016,11,46,6,2016-11-06,4,7,1,9266
